,yearID,teamID,lgID,index,salary
0,1985,ATL,NL,10.5,673045.4545454546
1,1985,BAL,AL,32.5,525486.9090909091
2,1985,BOS,AL,56.0,435902.4
3,1985,CAL,AL,82.5,515281.9285714286
4,1985,CHA,AL,107.0,468865.61904761905
5,1985,CHN,NL,128.5,577405.3181818182
6,1985,CIN,NL,150.5,379996.2272727273
7,1985,CLE,AL,171.5,327583.3
8,1985,DET,AL,191.5,517407.15
9,1985,HOU,NL,211.5,499652.55
10,1985,KCA,AL,232.5,423689.95454545453
11,1985,LAN,NL,255.0,476865.95652173914
12,1985,MIN,AL,276.0,303411.63157894736
13,1985,ML4,AL,295.0,593900.3684210526
14,1985,MON,NL,314.5,473508.3
15,1985,NYA,AL,334.5,711910.2
16,1985,NYN,NL,355.0,515941.04761904763
17,1985,OAK,AL,376.0,431362.1904761905
18,1985,PHI,NL,396.0,532892.947368421
19,1985,PIT,NL,415.0,485657.8947368421
20,1985,SDN,NL,435.5,501662.86363636365
21,1985,SEA,AL,455.5,256277.77777777778
22,1985,SFN,NL,474.5,411085.7
23,1985,SLN,NL,497.0,472683.32
24,1985,TEX,AL,519.5,383825.0
25,1985,TOR,AL,539.5,440627.5
26,1986,ATL,NL,564.0,589751.2413793104
27,1986,BAL,AL,593.0,448319.2413793103
28,1986,BOS,AL,622.0,496628.9310344828
29,1986,CAL,AL,651.0,497491.6551724138
30,1986,CHA,AL,681.0,336090.93548387097
31,1986,CHN,NL,712.0,555102.0967741936
32,1986,CIN,NL,742.5,396879.6
33,1986,CLE,AL,773.0,251919.35483870967
34,1986,DET,AL,802.0,456878.2962962963
35,1986,HOU,NL,827.5,411386.5
36,1986,KCA,AL,853.5,465846.35714285716
37,1986,LAN,NL,883.5,466055.5
38,1986,MIN,AL,910.5,397643.95454545453
39,1986,ML4,AL,935.5,355130.0714285714
40,1986,MON,NL,965.5,346987.5
41,1986,NYA,AL,995.5,660509.0357142857
42,1986,NYN,NL,1023.5,549775.5
43,1986,OAK,AL,1053.0,315465.1935483871
44,1986,PHI,NL,1084.0,373876.32258064515
45,1986,PIT,NL,1114.0,373913.7931034483
46,1986,SDN,NL,1141.0,455227.72
47,1986,SEA,AL,1166.5,229165.73076923078
48,1986,SFN,NL,1193.5,319535.71428571426
49,1986,SLN,NL,1221.0,365741.1111111111
50,1986,TEX,AL,1247.5,259350.73076923078
51,1986,TOR,AL,1274.0,467075.81481481483
52,1987,ATL,NL,1303.5,517017.5
53,1987,BAL,AL,1334.5,463342.43333333335
54,1987,BOS,AL,1357.0,676277.8
55,1987,CAL,AL,1378.0,475685.14814814815
56,1987,CHA,AL,1403.5,443410.125
57,1987,CHN,NL,1428.5,550307.6538461539
58,1987,CIN,NL,1454.5,356980.76923076925
59,1987,CLE,AL,1481.5,304062.5
60,1987,DET,AL,1507.0,527081.7826086957
61,1987,HOU,NL,1532.5,450298.96428571426
62,1987,KCA,AL,1560.0,438076.14814814815
63,1987,LAN,NL,1587.5,488407.25
64,1987,MIN,AL,1606.0,710833.3333333334
65,1987,ML4,AL,1624.5,260472.2857142857
66,1987,MON,NL,1650.5,289252.1666666667
67,1987,NYA,AL,1680.0,488563.2571428571
68,1987,NYN,NL,1710.0,553868.56
69,1987,OAK,AL,1735.5,449263.03846153844
70,1987,PHI,NL,1760.5,479759.7083333333
71,1987,PIT,NL,1785.0,306080.0
72,1987,SDN,NL,1811.0,409844.2962962963
73,1987,SEA,AL,1829.0,251500.0
74,1987,SFN,NL,1845.0,316956.52173913043
75,1987,SLN,NL,1872.0,379290.32258064515
76,1987,TEX,AL,1889.5,220000.0
77,1987,TOR,AL,1903.0,455630.47826086957
78,1988,ATL,NL,1929.0,438902.5517241379
79,1988,BAL,AL,1957.0,501187.962962963
80,1988,BOS,AL,1982.5,579003.8333333334
81,1988,CAL,AL,2008.5,426692.4285714286
82,1988,CHA,AL,2034.5,266250.0
83,1988,CHN,NL,2059.0,524767.92
84,1988,CIN,NL,2084.0,355536.36
85,1988,CLE,AL,2107.5,406204.54545454547
86,1988,DET,AL,2130.0,559546.5652173914
87,1988,HOU,NL,2154.5,472544.8846153846
88,1988,KCA,AL,2180.5,559867.7692307692
89,1988,LAN,NL,2208.5,561683.8333333334
90,1988,MIN,AL,2235.0,541855.0434782609
91,1988,ML4,AL,2257.5,381909.0909090909
92,1988,MON,NL,2281.0,384133.32
93,1988,NYA,AL,2308.5,648038.4
94,1988,NYN,NL,2336.0,610772.56
95,1988,OAK,AL,2360.0,421304.347826087
96,1988,PHI,NL,2384.5,532230.7692307692
97,1988,PIT,NL,2411.0,222166.66666666666
98,1988,SDN,NL,2438.0,354111.18518518517
99,1988,SEA,AL,2464.5,282401.92307692306
100,1988,SFN,NL,2490.0,495200.0
101,1988,SLN,NL,2516.0,477037.037037037
102,1988,TEX,AL,2540.5,242824.13636363635
103,1988,TOR,AL,2564.5,470816.3461538461
104,1989,ATL,NL,2592.5,370411.13333333336
105,1989,BAL,AL,2620.5,318275.6538461539
106,1989,BOS,AL,2646.5,672374.9230769231
107,1989,CAL,AL,2672.5,580685.8846153846
108,1989,CHA,AL,2698.0,290616.4
109,1989,CHN,NL,2722.5,444500.0
110,1989,CIN,NL,2749.0,381793.1034482759
111,1989,CLE,AL,2777.0,336833.3333333333
112,1989,DET,AL,2803.5,582554.0
113,1989,HOU,NL,2830.0,556648.1481481482
114,1989,KCA,AL,2857.0,691984.0
115,1989,LAN,NL,2886.0,679727.8064516129
116,1989,MIN,AL,2914.0,621266.64
117,1989,ML4,AL,2941.5,384433.3333333333
118,1989,MON,NL,2970.5,493121.03571428574
119,1989,NYA,AL,3000.0,552076.6129032258
120,1989,NYN,NL,3029.5,710181.1071428572
121,1989,OAK,AL,3056.0,624522.8
122,1989,PHI,NL,3081.5,407846.1538461539
123,1989,PIT,NL,3109.0,439224.1379310345
124,1989,SDN,NL,3137.0,525740.7407407408
125,1989,SEA,AL,3162.5,407479.1666666667
126,1989,SFN,NL,3188.5,534386.9285714285
127,1989,SLN,NL,3216.5,574244.0357142857
128,1989,TEX,AL,3245.5,396459.36666666664
129,1989,TOR,AL,3274.5,580773.7857142857
130,1990,ATL,NL,3304.5,454859.40625
131,1990,BAL,AL,3339.0,261623.8918918919
132,1990,BOS,AL,3373.5,642447.90625
133,1990,CAL,AL,3407.0,620571.4285714285
134,1990,CHA,AL,3440.0,306177.4193548387
135,1990,CHN,NL,3471.0,439483.87096774194
136,1990,CIN,NL,3503.5,422647.0588235294
137,1990,CLE,AL,3537.0,439000.0
138,1990,DET,AL,3570.0,533128.4242424242
139,1990,HOU,NL,3602.0,591290.3225806452
140,1990,KCA,AL,3635.0,667459.5428571429
141,1990,LAN,NL,3670.0,609105.8285714285
142,1990,MIN,AL,3705.5,405611.1111111111
143,1990,ML4,AL,3742.0,532950.4594594594
144,1990,MON,NL,3776.0,535044.7741935484
145,1990,NYA,AL,3808.0,633706.6060606061
146,1990,NYN,NL,3840.5,678838.5625
147,1990,OAK,AL,3873.5,584926.5
148,1990,PHI,NL,3905.5,439122.23333333334
149,1990,PIT,NL,3938.5,432111.1111111111
150,1990,SDN,NL,3972.5,549635.4375
151,1990,SEA,AL,4005.5,369225.5
152,1990,SFN,NL,4039.5,568686.2647058824
153,1990,SLN,NL,4074.0,586380.9714285714
154,1990,TEX,AL,4110.0,402010.0540540541
155,1990,TOR,AL,4142.0,657660.5185185185
156,1991,ATL,NL,4168.0,736140.0
157,1991,BAL,AL,4196.0,565129.0322580645
158,1991,BOS,AL,4226.5,1172250.0
159,1991,CAL,AL,4257.0,1066451.6451612904
160,1991,CHA,AL,4286.5,604273.8214285715
161,1991,CHN,NL,4313.0,927026.68
162,1991,CIN,NL,4338.5,1011743.5769230769
163,1991,CLE,AL,4366.5,587833.3333333334
164,1991,DET,AL,4394.0,953533.32
165,1991,HOU,NL,4419.0,514100.0
166,1991,KCA,AL,4442.0,1253325.4285714286
167,1991,LAN,NL,4467.5,1093022.1333333333
168,1991,MIN,AL,4494.5,973409.7083333334
169,1991,ML4,AL,4518.0,1005021.7391304348
170,1991,MON,NL,4538.0,631313.7058823529
171,1991,NYA,AL,4560.5,976577.4285714285
172,1991,NYN,NL,4587.5,1253461.576923077
173,1991,OAK,AL,4613.5,1423044.8846153845
174,1991,PHI,NL,4641.5,749577.7333333333
175,1991,PIT,NL,4670.0,875358.0370370371
176,1991,SDN,NL,4698.5,738333.3666666667
177,1991,SEA,AL,4726.5,603532.0384615385
178,1991,SFN,NL,4752.5,1191064.076923077
179,1991,SLN,NL,4780.0,753793.1379310344
180,1991,TEX,AL,4805.0,867833.3333333334
181,1991,TOR,AL,4828.0,796096.68
182,1992,ATL,NL,4856.0,1116946.2258064516
183,1992,BAL,AL,4888.0,720626.2727272727
184,1992,BOS,AL,4920.0,1406793.0322580645
185,1992,CAL,AL,4950.5,1158311.1333333333
186,1992,CHA,AL,4980.5,1005361.1
187,1992,CHN,NL,5009.5,1065345.9285714286
188,1992,CIN,NL,5037.0,1330796.2592592593
189,1992,CLE,AL,5068.0,267801.2571428571
190,1992,DET,AL,5099.5,975815.5
191,1992,HOU,NL,5128.5,513583.3333333333
192,1992,KCA,AL,5157.5,1210494.0714285714
193,1992,LAN,NL,5186.0,1544419.5172413792
194,1992,MIN,AL,5214.5,1000994.0714285715
195,1992,ML4,AL,5242.0,1148654.3333333333
196,1992,MON,NL,5269.0,586012.3703703703
197,1992,NYA,AL,5299.0,1137676.7878787878
198,1992,NYN,NL,5328.5,1715461.6153846155
199,1992,OAK,AL,5357.5,1282343.75
200,1992,PHI,NL,5388.5,812794.4666666667
201,1992,PIT,NL,5417.5,1212291.6785714286
202,1992,SDN,NL,5445.5,959077.3928571428
203,1992,SEA,AL,5474.0,799304.5862068966
204,1992,SFN,NL,5501.0,1326526.72
205,1992,SLN,NL,5528.0,951166.7586206896
206,1992,TEX,AL,5558.0,971876.3548387097
207,1992,TOR,AL,5591.5,1244129.611111111
208,1993,ATL,NL,5626.0,1261861.121212121
209,1993,BAL,AL,5658.5,909265.625
210,1993,BOS,AL,5690.0,1197438.1612903227
211,1993,CAL,AL,5721.5,893385.4375
212,1993,CHA,AL,5753.0,1280521.4838709678
213,1993,CHN,NL,5784.5,1230833.3125
214,1993,CIN,NL,5817.0,1359989.878787879
215,1993,CLE,AL,5853.5,464025.0
216,1993,COL,NL,5890.0,313742.42424242425
217,1993,DET,AL,5922.0,1230650.4838709678
218,1993,FLO,NL,5954.5,568545.4411764706
219,1993,HOU,NL,5986.0,1041741.3793103448
220,1993,KCA,AL,6016.5,1292067.71875
221,1993,LAN,NL,6048.5,1229124.96875
222,1993,MIN,AL,6081.0,855088.8787878788
223,1993,ML4,AL,6114.0,721419.2121212122
224,1993,MON,NL,6150.0,484598.28205128206
225,1993,NYA,AL,6186.0,1291663.6363636365
226,1993,NYN,NL,6217.5,1301455.5666666667
227,1993,OAK,AL,6250.5,1050342.5833333333
228,1993,PHI,NL,6284.5,891822.9375
229,1993,PIT,NL,6317.0,752195.9696969697
230,1993,SDN,NL,6350.5,750333.3235294118
231,1993,SEA,AL,6384.0,990797.9696969697
232,1993,SFN,NL,6416.0,1130645.1612903227
