Year,NL_hits,NL_runs,NL_hrs,AL_hits,AL_runs,AL_hrs
1901,10398,5194,2348,10559,5873,2693
1902,9900,4494,1950,10451,5407,2688
1903,10222,5349,1720,9553,4543,2169
1904,10227,4872,1553,10139,4433,2014
1905,10512,5092,1902,9785,4547,1706
1906,9697,4387,1478,10052,4491,1553
1907,9566,4189,1572,10167,4514,1580
1908,9581,4136,1618,9721,4286,1594
1909,9918,4546,1691,9747,4267,1715
1910,10384,5004,1903,9944,4577,1684
1911,10675,5506,2206,11242,5658,2155
1912,11214,5659,2607,10825,5495,2364
1913,10812,5142,2227,10220,4824,1927
1914,15651,7257,2259,10085,4610,1755
1915,15375,6910,2073,10007,4923,1877
1916,10141,4290,1931,10157,4599,1751
1917,10319,4408,1828,10076,4540,1866
1918,8584,3682,1481,8504,3703,1583
1919,9589,4071,1918,10024,4586,1856
1920,11459,4893,2366,11901,5868,2864
1921,12379,5632,2814,12530,6307,3171
1922,12582,6194,3133,12035,5865,3073
1923,12349,5987,2950,11880,5887,2968
1924,12011,5581,2870,12256,6139,3098
1925,12492,6195,3212,12423,6401,3262
1926,11756,5612,2928,11750,5831,2907
1927,11936,5651,2937,12025,6094,3133
1928,11903,5769,3005,11834,5876,2972
1929,12668,6609,3465,11973,6138,3214
1930,13261,7025,3801,12339,6670,3601
1931,11884,5537,2953,12154,6354,3434
1932,12092,5680,3018,12016,6436,3492
1933,11333,4908,2555,11641,6080,3130
1934,12105,5695,3154,11969,6305,3356
1935,12041,5806,3166,12032,6220,3253
1936,12206,5837,3048,12660,7009,3755
1937,11592,5567,2876,12178,6503,3560
1938,11360,5388,2787,11937,6581,3588
1939,11505,5472,2955,11867,6404,3371
1940,11329,5421,2840,11675,6147,3373
1941,11038,5266,2773,11493,5902,3156
1942,10391,4784,2571,10785,5211,2681
1943,11320,4898,2690,10522,4796,2463
1944,11646,5295,2975,11114,5058,2679
1945,11686,5512,2971,10634,4774,2563
1946,10763,4916,2638,10793,5037,2670
1947,11394,5669,3150,10738,5161,2731
1948,11144,5487,2973,11212,5841,3125
1949,11207,5650,3122,11093,5776,3216
1950,11406,5760,3391,11474,6253,3482
1951,11440,5552,3302,11103,5716,3135
1952,10674,5158,2897,10938,5191,2974
1953,11589,5914,3509,11117,5512,2971
1954,11584,5624,3278,10765,5203,2816
1955,11600,5578,3605,10802,5491,3108
1956,11166,5275,3264,10937,5756,3219
1957,11611,5426,3225,10851,5210,3076
1958,11895,5419,3395,10595,5159,3008
1959,11448,5462,3355,10622,5391,3046
1960,10880,5250,3049,10689,5414,3096
1961,11029,5600,3224,14208,7342,4306
1962,14774,7278,4289,14068,7183,4236
1963,13434,6181,3559,13609,6599,3902
1964,14032,6517,3632,13637,6607,3905
1965,13794,6558,3718,13158,6388,3704
1966,14357,6624,3860,13466,6276,3776
1967,13698,6218,3535,13026,5992,3480
1968,13351,5577,3046,12631,5532,3209
1969,16634,7890,4419,16426,7960,4650
1970,17277,8771,5017,16404,8109,4724
1971,17067,7601,4446,16713,7472,4454
1972,15683,7265,4042,15372,6441,3896
1973,17222,8062,4703,17684,8314,4809
1974,16907,8070,4408,17225,7976,4482
1975,17498,8014,4555,17489,8281,4798
1976,16934,7739,4234,16983,7753,4248
1977,17609,8556,4986,20572,10247,5892
1978,17055,7742,4550,20384,9509,5650
1979,17942,8186,4806,20682,10527,6061
1980,17948,7852,4650,21421,10201,5894
1981,11253,5035,2793,13539,6112,3579
1982,17770,7947,4528,21176,10163,6125
1983,17030,7993,4577,20950,10177,5944
1984,16842,7894,4309,20982,10027,5944
1985,16733,7899,4514,20182,10317,6116
1986,17845,8096,4951,20236,10449,6150
1987,17571,8771,5230,20791,11112,6643
1988,16277,7522,4218,19967,9858,5570
1989,16215,7673,4340,20306,9732,5453
1990,16917,8173,4637,20057,9746,5560
1991,16363,7955,4464,20195,10172,5784
1992,16538,7539,4250,20006,9802,5539
1993,20427,10190,5832,20661,10674,6205
1994,14695,7422,4203,15645,8330,5013
1995,18345,9329,5355,18944,10225,6030
1996,20547,10623,6340,22244,12208,7310
1997,20442,10440,6169,21171,11164,6572
1998,23213,11932,7070,21442,11365,6702
1999,24018,12966,7673,21447,11725,6953
2000,23777,12976,7765,21652,11995,7118
2001,23150,12186,7315,21001,11013,6572
2002,22753,11516,6913,20519,10892,6490
2003,23126,11945,7194,20931,11033,6542
2004,23495,12018,7191,21448,11358,6810
2005,23058,11535,6876,20933,10790,6397
2006,23501,12337,7426,21572,11262,6765
2007,24212,12208,7357,21351,11114,6502
2008,23071,11741,6939,21329,10844,6598
2009,22955,11481,6819,20783,10938,6639
2010,22423,11211,6676,20526,10097,6119
2011,22503,10691,6242,20004,10117,6004
2012,22283,10929,6510,19780,10088,6124
2013,21120,9730,5842,21325,10525,6296
2014,21297,9600,5882,21219,10161,5843
2015,21489,9996,6123,21342,10651,6553
2016,20977,10774,6482,21479,10970,6862
2017,20985,11139,6912,21230,11443,7122
2018,20599,10631,6521,20781,10999,6875
2019,21051,11608,7309,21681,11859,7511
2020,7239,4227,2613,7574,4117,2672
2021,20812,10832,6996,20146,11178,6964
